"","Distance","Rsquare","Number"
"1",10,0.641471125206557,1467
"2",20,0.647677899577605,683
"3",30,0.616623384656826,485
"4",40,0.63897287921227,336
"5",50,0.616817954188847,260
"6",60,0.635841828930499,200
"7",70,0.619507841351024,156
"8",80,0.583667919252808,111
"9",90,0.547177069024327,86
"10",100,0.633121824778906,100
"11",200,0.531884806398371,472
"12",300,0.432859705665054,140
"13",400,0.387742135067517,50
"14",500,0.373127479582281,49
"15",600,0.48297260941008,38
"16",700,0.451655531418058,34
"17",800,0.433515894827283,33
"18",900,0.354853311733567,30
"19",1000,0.409065433781385,21
"20",1100,0.378309433712496,24
"21",1200,0.353524136669836,30
"22",1300,0.429493937967854,17
"23",1400,0.422241178373967,31
"24",1500,0.528242432012548,15
"25",1600,0.337896627890627,19
"26",1700,0.274820843256644,24
"27",1800,0.485925688161232,28
"28",1900,0.314958705499261,21
"29",2000,0.412055978261916,20
"30",2100,0.272153995318697,13
"31",2200,0.347670820168321,18
"32",2300,0.28348797791008,13
"33",2400,0.47468344651072,12
"34",2699.5,0.376248432932997,56
"35",2899.5,0.425009979470462,31
"36",3099.5,0.37211313258344,40
"37",3299.5,0.378313980348975,23
"38",3832.66666666667,0.375424576100029,86
"39",4332.66666666667,0.438830711567161,63
"40",4832.66666666667,0.369342423464901,57
"41",5999,0.381757979908348,160
"42",6999,0.406448380105861,108
"43",7999,0.428243520453849,76
"44",8999,0.352146042018496,88
