FID	IID	pheno
0	1	1202.8
0	3	1255.1
0	4	1545.3
0	5	1023.1
0	7	1236.7
0	8	1458.4
0	11	1104.7
0	12	1029.5
0	17	1170.8
0	18	1324.5
0	19	1242.5
0	21	1061.9
0	22	1293
0	24	1428.8
0	25	1439.2
0	26	1113.8
0	28	1387.3
0	29	1608.2
0	30	1341.2
0	31	1361.1
0	32	1579.1
0	33	1350.6
0	34	1577.6
0	35	1421.1
0	36	1342.2
0	37	1218.4
0	38	1042
0	39	1375
0	40	1514.3
0	41	1018.5
0	42	1069.7
0	44	1212.3
0	45	1101.9
0	46	1308
0	47	1550.3
0	48	1466.7
0	49	1030.1
0	50	1156.3
0	51	1159.3
0	52	1119.9
0	53	1407.4
0	54	1388.4
0	56	1523.1
0	57	1336.7
0	58	1237.4
0	59	1287.4
0	60	1384.4
0	61	1282.5
0	62	1597.7
0	64	1342.8
0	65	1449.6
0	66	1205
0	67	1459.7
0	68	1505.9
0	69	1496.9
0	70	1390.3
0	71	1605.4
0	73	1464.1
0	74	1400.7
0	75	1532.2
0	77	1315.2
0	78	1387.7
0	79	1653.4
0	80	1481.7
0	81	1403.4
0	82	1543.8
0	84	1250.4
0	85	901.3
0	86	1649.8
0	87	1274.3
0	88	1290.9
0	89	1138.1
0	91	1379.9
0	93	1231.4
0	94	1378.1
0	95	1300.1
0	97	1732.9
0	98	1330.1
0	99	1174.1
0	100	1512
0	101	1195.9
0	102	1602.8
0	104	1484.8
0	108	1245.5
0	110	1353.4
0	111	1213.8
0	112	1514.9
0	147	1026.5
0	148	1738.6
0	151	1301.5
0	152	1338.9
0	153	1320.1
0	154	1508.2
0	155	1222.2
0	156	1117.5
0	157	888.4
0	159	1551.6
